mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__tree_method,param_xgb__subsample,param_xgb__reg_lambda,param_xgb__reg_alpha,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__gamma,param_xgb__colsample_bytree,params,split0_test_business_loss,split1_test_business_loss,split2_test_business_loss,split3_test_business_loss,split4_test_business_loss,split5_test_business_loss,split6_test_business_loss,split7_test_business_loss,split8_test_business_loss,split9_test_business_loss,split10_test_business_loss,split11_test_business_loss,split12_test_business_loss,split13_test_business_loss,split14_test_business_loss,split15_test_business_loss,split16_test_business_loss,split17_test_business_loss,split18_test_business_loss,split19_test_business_loss,mean_test_business_loss,std_test_business_loss,rank_test_business_loss,split0_test_fbeta_loss,split1_test_fbeta_loss,split2_test_fbeta_loss,split3_test_fbeta_loss,split4_test_fbeta_loss,split5_test_fbeta_loss,split6_test_fbeta_loss,split7_test_fbeta_loss,split8_test_fbeta_loss,split9_test_fbeta_loss,split10_test_fbeta_loss,split11_test_fbeta_loss,split12_test_fbeta_loss,split13_test_fbeta_loss,split14_test_fbeta_loss,split15_test_fbeta_loss,split16_test_fbeta_loss,split17_test_fbeta_loss,split18_test_fbeta_loss,split19_test_fbeta_loss,mean_test_fbeta_loss,std_test_fbeta_loss,rank_test_fbeta_loss
4.161408293247223,0.3833678921772426,0.0,0.0,gpu_hist,9,0.06,0.04,1000,10000,2,1,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.06, 'xgb__reg_alpha': 0.04, 'xgb__n_estimators': 1000, 'xgb__min_child_weight': 10000, 'xgb__max_depth': 2, 'xgb__gamma': 1, 'xgb__colsample_bytree': 0.95}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
3.5729926347732546,0.16865104907644643,0.0,0.0,gpu_hist,9,0.07,0.04,3000,5000,2,1,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.07, 'xgb__reg_alpha': 0.04, 'xgb__n_estimators': 3000, 'xgb__min_child_weight': 5000, 'xgb__max_depth': 2, 'xgb__gamma': 1, 'xgb__colsample_bytree': 0.95}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
3.5112825632095337,0.12880060159224055,0.0,0.0,gpu_hist,9,0.05,0.03,3000,5000,2,9,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.05, 'xgb__reg_alpha': 0.03, 'xgb__n_estimators': 3000, 'xgb__min_child_weight': 5000, 'xgb__max_depth': 2, 'xgb__gamma': 9, 'xgb__colsample_bytree': 0.95}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
3.4285874009132384,0.11163491680250291,0.0,0.0,gpu_hist,9,0.05,0.03,1000,500,3,1,0.75,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.05, 'xgb__reg_alpha': 0.03, 'xgb__n_estimators': 1000, 'xgb__min_child_weight': 500, 'xgb__max_depth': 3, 'xgb__gamma': 1, 'xgb__colsample_bytree': 0.75}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
3.3843672394752504,0.09828760005909817,0.0,0.0,gpu_hist,9,0.05,0.04,1000,1000,3,9,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.05, 'xgb__reg_alpha': 0.04, 'xgb__n_estimators': 1000, 'xgb__min_child_weight': 1000, 'xgb__max_depth': 3, 'xgb__gamma': 9, 'xgb__colsample_bytree': 0.95}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
140.42253762483597,14.155894824737798,43.83838120698929,0.8679104062128494,gpu_hist,1,0.05,0.03,6000,500,2,4,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 1, 'xgb__reg_lambda': 0.05, 'xgb__reg_alpha': 0.03, 'xgb__n_estimators': 6000, 'xgb__min_child_weight': 500, 'xgb__max_depth': 2, 'xgb__gamma': 4, 'xgb__colsample_bytree': 0.95}",-87753.0,-101102.0,-99752.0,-92977.0,-75305.0,-93143.0,-76627.0,-98092.0,-86978.0,-88604.0,-79518.0,-92521.0,-91790.0,-81807.0,-85455.0,-84181.0,-88907.0,-92356.0,-74961.0,-80089.0,-87595.9,7648.900587012489,3,0.6214930796772298,0.558183435676004,0.5647188868178075,0.5969699902153696,0.6787671232876713,0.5961739055627843,0.6727339875488023,0.5726974716274842,0.6250667236041422,0.617543521758204,0.6595623034653623,0.5991038425169775,0.6025422182142206,0.6490198367632855,0.6321538953426409,0.6380635136860926,0.6161165339498246,0.5998582124021181,0.6802388021984963,0.6569343065693429,0.6218970795441929,0.03566908669569153,3
2.972188115119934,0.18435907046731878,0.0,0.0,gpu_hist,9,0.06,0.02,3000,2500,2,9,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.06, 'xgb__reg_alpha': 0.02, 'xgb__n_estimators': 3000, 'xgb__min_child_weight': 2500, 'xgb__max_depth': 2, 'xgb__gamma': 9, 'xgb__colsample_bytree': 0.95}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
2.8385478615760804,0.048364087107357005,0.0,0.0,gpu_hist,9,0.05,0.02,3000,10000,3,1,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.05, 'xgb__reg_alpha': 0.02, 'xgb__n_estimators': 3000, 'xgb__min_child_weight': 10000, 'xgb__max_depth': 3, 'xgb__gamma': 1, 'xgb__colsample_bytree': 0.95}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
2.905751276016235,0.12030401962811625,0.0,0.0,gpu_hist,9,0.06,0.03,6000,10000,2,7,0.75,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.06, 'xgb__reg_alpha': 0.03, 'xgb__n_estimators': 6000, 'xgb__min_child_weight': 10000, 'xgb__max_depth': 2, 'xgb__gamma': 7, 'xgb__colsample_bytree': 0.75}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
68.00249514579772,30.05361137570336,43.79509834051132,1.6276235017744642,gpu_hist,1,0.05,0.02,3000,5000,2,1,0.75,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 1, 'xgb__reg_lambda': 0.05, 'xgb__reg_alpha': 0.02, 'xgb__n_estimators': 3000, 'xgb__min_child_weight': 5000, 'xgb__max_depth': 2, 'xgb__gamma': 1, 'xgb__colsample_bytree': 0.75}",-82770.0,-87365.0,-94803.0,-106029.0,-84657.0,-77316.0,-103686.0,-94540.0,-98335.0,-79051.0,-83208.0,-85710.0,-86492.0,-99092.0,-89035.0,-88564.0,-76847.0,-89493.0,-78221.0,-94560.0,-88988.7,8368.86449944077,4,0.6446281870064723,0.6232247730912975,0.5883303701309197,0.5344019917229933,0.6358824719651548,0.6695881731784583,0.5457901787172869,0.5896170506217271,0.5715012117015752,0.661724240115147,0.6426042297999937,0.6309561880396546,0.6273476182345911,0.5679294543327302,0.6155575780288023,0.6176734833575768,0.671754435964829,0.6133166313355175,0.6654581201640523,0.5895060065722135,0.6153396197040497,0.0392988763849392,4
121.10227164030076,29.811093913591694,43.49416189193725,1.5561773876912615,gpu_hist,1,0.06,0.04,6000,1000,3,9,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 1, 'xgb__reg_lambda': 0.06, 'xgb__reg_alpha': 0.04, 'xgb__n_estimators': 6000, 'xgb__min_child_weight': 1000, 'xgb__max_depth': 3, 'xgb__gamma': 9, 'xgb__colsample_bytree': 0.95}",-98428.0,-88524.0,-104687.0,-123268.0,-87787.0,-92995.0,-83993.0,-85626.0,-87522.0,-96955.0,-88558.0,-87897.0,-77634.0,-93158.0,-90079.0,-86893.0,-89265.0,-85733.0,-83040.0,-90837.0,-91143.95,9327.49488059361,5,0.5710791740617289,0.6177841443598734,0.54090730728985,0.44872009182797856,0.6213261227368916,0.5968881385821353,0.638974915658291,0.6314178778217335,0.6225362945870588,0.5781177411164772,0.617751529935379,0.6207721982965899,0.6681385080176621,0.5961112425526424,0.6106252545388292,0.6254937968439708,0.6144398997794291,0.6308428649092325,0.6433339001785563,0.6070601106963573,0.6051160556895333,0.04484360214126751,5
65.7927496433258,18.681109730751512,43.14109255075455,1.4433826429508188,gpu_hist,1,0.06,0.03,3000,2500,2,1,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 1, 'xgb__reg_lambda': 0.06, 'xgb__reg_alpha': 0.03, 'xgb__n_estimators': 3000, 'xgb__min_child_weight': 2500, 'xgb__max_depth': 2, 'xgb__gamma': 1, 'xgb__colsample_bytree': 0.95}",-70835.0,-84432.0,-94658.0,-90684.0,-85351.0,-83766.0,-92844.0,-85395.0,-97926.0,-90015.0,-85577.0,-88907.0,-72941.0,-84277.0,-79354.0,-93746.0,-90220.0,-77850.0,-93390.0,-78075.0,-86012.15,7170.2718935546645,1,0.6988565499460242,0.6368105209397346,0.589011580931861,0.6077863577863579,0.6326671995736743,0.6400000000000001,0.5976384811433364,0.6324957623956591,0.5734443423257826,0.6109336819993999,0.6316440444837771,0.6160784985126373,0.6894069933596706,0.6376692785963716,0.6603014649843341,0.5933115262115864,0.6099966763517063,0.6671103505102364,0.5950421225912655,0.6661417156386082,0.6293173574141011,0.03318794372417732,1
44.119417381286624,20.886215429486974,41.71121780872345,4.56414011773831,gpu_hist,1,0.05,0.04,3000,2500,3,4,0.75,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 1, 'xgb__reg_lambda': 0.05, 'xgb__reg_alpha': 0.04, 'xgb__n_estimators': 3000, 'xgb__min_child_weight': 2500, 'xgb__max_depth': 3, 'xgb__gamma': 4, 'xgb__colsample_bytree': 0.75}",-78775.0,-102567.0,-91637.0,-87440.0,-77963.0,-74400.0,-98844.0,-77751.0,-87000.0,-85311.0,-79599.0,-91183.0,-84793.0,-80814.0,-78170.0,-104523.0,-77736.0,-98235.0,-88866.0,-95409.0,-87050.8,8908.997191603554,2,0.6629086332533076,0.5511297562247992,0.6032872418087345,0.6229434639545318,0.6666596210143625,0.6828444219899588,0.5691034900971338,0.6676600196557081,0.6249799805678045,0.6328742885160631,0.6592114877529625,0.6054006501378592,0.6352376083668818,0.6536308109942315,0.6656942330458312,0.5416979960116381,0.6677163024641786,0.5719662963884353,0.6163108043024563,0.5854694863527051,0.6243363296449791,0.041712289087248916,2
3.030051577091217,0.06723271512160918,0.0,0.0,gpu_hist,9,0.07,0.02,6000,500,3,9,0.95,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.07, 'xgb__reg_alpha': 0.02, 'xgb__n_estimators': 6000, 'xgb__min_child_weight': 500, 'xgb__max_depth': 3, 'xgb__gamma': 9, 'xgb__colsample_bytree': 0.95}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
3.0586586475372313,0.23942656568861453,0.0,0.0,gpu_hist,9,0.06,0.04,1000,5000,2,1,0.75,"{'xgb__tree_method': 'gpu_hist', 'xgb__subsample': 9, 'xgb__reg_lambda': 0.06, 'xgb__reg_alpha': 0.04, 'xgb__n_estimators': 1000, 'xgb__min_child_weight': 5000, 'xgb__max_depth': 2, 'xgb__gamma': 1, 'xgb__colsample_bytree': 0.75}",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
